;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 9/11/2011 11:05:21 AM
;----------------------------------------------

;Address Opcode 	ASM
L_Ext_Interrupt18:
;remote.c,163 :: 		if(Edge)
0x0648	0x00E19100  	LDS        R16, _Edge+0
0x064C	0x2300    	TST        R16
0x064E	0xF0D9    	BREQ       L_Ext_Interrupt19
L__Ext_Interrupt97:
;remote.c,166 :: 		if((TempTime>=45) && (TempTime<69))
0x0650	0x00E79100  	LDS        R16, _TempTime+0
0x0654	0x00E89110  	LDS        R17, _TempTime+1
0x0658	0x3010    	CPI        R17, 0
0x065A	0xF409    	BRNE       L__Ext_Interrupt98
0x065C	0x320D    	CPI        R16, 45
L__Ext_Interrupt98:
0x065E	0xF090    	BRLO       L__Ext_Interrupt80
L__Ext_Interrupt99:
0x0660	0x00E79100  	LDS        R16, _TempTime+0
0x0664	0x00E89110  	LDS        R17, _TempTime+1
0x0668	0x3010    	CPI        R17, 0
0x066A	0xF409    	BRNE       L__Ext_Interrupt100
0x066C	0x3405    	CPI        R16, 69
L__Ext_Interrupt100:
0x066E	0xF450    	BRSH       L__Ext_Interrupt79
L__Ext_Interrupt101:
L__Ext_Interrupt69:
;remote.c,170 :: 		MCUCR&=(~((1<<ISC01)|(1<<ISC00)));
0x0670	0xB705    	IN         R16, MCUCR+0
0x0672	0x7F0C    	ANDI       R16, 252
0x0674	0xBF05    	OUT        MCUCR+0, R16
;remote.c,171 :: 		MCUCR|=(1<<ISC01);
0x0676	0xB705    	IN         R16, MCUCR+0
0x0678	0x6002    	ORI        R16, 2
0x067A	0xBF05    	OUT        MCUCR+0, R16
;remote.c,172 :: 		Edge=0;
0x067C	0xE0B0    	LDI        R27, 0
0x067E	0x00E193B0  	STS        _Edge+0, R27
;remote.c,173 :: 		}
0x0682	0xC000    	RJMP       L_Ext_Interrupt23
;remote.c,166 :: 		if((TempTime>=45) && (TempTime<69))
L__Ext_Interrupt80:
L__Ext_Interrupt79:
;remote.c,181 :: 		}
L_Ext_Interrupt23:
;remote.c,182 :: 		}
0x0684	0xC078    	RJMP       L_Ext_Interrupt24
L_Ext_Interrupt19:
;remote.c,186 :: 		if((TempTime>=44) && (TempTime<=66))
0x0686	0x00E79100  	LDS        R16, _TempTime+0
0x068A	0x00E89110  	LDS        R17, _TempTime+1
0x068E	0x3010    	CPI        R17, 0
0x0690	0xF409    	BRNE       L__Ext_Interrupt102
0x0692	0x320C    	CPI        R16, 44
L__Ext_Interrupt102:
0x0694	0xF140    	BRLO       L__Ext_Interrupt82
L__Ext_Interrupt103:
0x0696	0x00E79120  	LDS        R18, _TempTime+0
0x069A	0x00E89130  	LDS        R19, _TempTime+1
0x069E	0xE402    	LDI        R16, 66
0x06A0	0xE010    	LDI        R17, 0
0x06A2	0x1702    	CP         R16, R18
0x06A4	0x0713    	CPC        R17, R19
0x06A6	0xF0F8    	BRLO       L__Ext_Interrupt81
L__Ext_Interrupt104:
L__Ext_Interrupt68:
;remote.c,189 :: 		BitNo++;
0x06A8	0x00EB9100  	LDS        R16, _BitNo+0
0x06AC	0x5F0F    	SUBI       R16, 255
0x06AE	0x00EB9300  	STS        _BitNo+0, R16
;remote.c,190 :: 		if(BitNo==8)
0x06B2	0x00EB9100  	LDS        R16, _BitNo+0
0x06B6	0x3008    	CPI        R16, 8
0x06B8	0xF479    	BRNE       L_Ext_Interrupt28
L__Ext_Interrupt105:
;remote.c,192 :: 		BitNo=0;
0x06BA	0xE0B0    	LDI        R27, 0
0x06BC	0x00EB93B0  	STS        _BitNo+0, R27
;remote.c,193 :: 		ByteNo++;
0x06C0	0x00EA9100  	LDS        R16, _ByteNo+0
0x06C4	0x5F0F    	SUBI       R16, 255
0x06C6	0x00EA9300  	STS        _ByteNo+0, R16
;remote.c,194 :: 		if(ByteNo==4)
0x06CA	0x00EA9100  	LDS        R16, _ByteNo+0
0x06CE	0x3004    	CPI        R16, 4
0x06D0	0xF419    	BRNE       L_Ext_Interrupt29
L__Ext_Interrupt106:
;remote.c,196 :: 		State=IR_WAIT_STOP_BIT;
0x06D2	0xE0B4    	LDI        R27, 4
0x06D4	0x00E693B0  	STS        _State+0, R27
;remote.c,197 :: 		}
L_Ext_Interrupt29:
;remote.c,198 :: 		}
L_Ext_Interrupt28:
;remote.c,199 :: 		MCUCR|=((1<<ISC01)|(1<<ISC00));        //Set INT on Rising Edge
0x06D8	0xB705    	IN         R16, MCUCR+0
0x06DA	0x6003    	ORI        R16, 3
0x06DC	0xBF05    	OUT        MCUCR+0, R16
;remote.c,200 :: 		Edge=1;
0x06DE	0xE0B1    	LDI        R27, 1
0x06E0	0x00E193B0  	STS        _Edge+0, R27
;remote.c,201 :: 		}
0x06E4	0xC048    	RJMP       L_Ext_Interrupt30
;remote.c,186 :: 		if((TempTime>=44) && (TempTime<=66))
L__Ext_Interrupt82:
L__Ext_Interrupt81:
;remote.c,202 :: 		else if((TempTime>152) && (TempTime<186))
0x06E6	0x00E79120  	LDS        R18, _TempTime+0
0x06EA	0x00E89130  	LDS        R19, _TempTime+1
0x06EE	0xE908    	LDI        R16, 152
0x06F0	0xE010    	LDI        R17, 0
0x06F2	0x1702    	CP         R16, R18
0x06F4	0x0713    	CPC        R17, R19
0x06F6	0xF008    	BRLO       L__Ext_Interrupt107
0x06F8	0xC03E    	RJMP       L__Ext_Interrupt84
L__Ext_Interrupt107:
0x06FA	0x00E79100  	LDS        R16, _TempTime+0
0x06FE	0x00E89110  	LDS        R17, _TempTime+1
0x0702	0x3010    	CPI        R17, 0
0x0704	0xF409    	BRNE       L__Ext_Interrupt108
0x0706	0x3B0A    	CPI        R16, 186
L__Ext_Interrupt108:
0x0708	0xF5B0    	BRSH       L__Ext_Interrupt83
L__Ext_Interrupt109:
L__Ext_Interrupt67:
;remote.c,205 :: 		IrData[ByteNo]|=(1<<BitNo);
0x070A	0xEE12    	LDI        R17, lo_addr(_IrData+0)
0x070C	0xE020    	LDI        R18, hi_addr(_IrData+0)
0x070E	0x00EA9100  	LDS        R16, _ByteNo+0
0x0712	0x2F30    	MOV        R19, R16
0x0714	0xE040    	LDI        R20, 0
0x0716	0x0F31    	ADD        R19, R17
0x0718	0x1F42    	ADC        R20, R18
0x071A	0x00EB91B0  	LDS        R27, _BitNo+0
0x071E	0xE011    	LDI        R17, 1
0x0720	0x23BB    	TST        R27
0x0722	0xF019    	BREQ       L__Ext_Interrupt111
L__Ext_Interrupt110:
0x0724	0x0F11    	LSL        R17
0x0726	0x95BA    	DEC        R27
0x0728	0xF7E9    	BRNE       L__Ext_Interrupt110
L__Ext_Interrupt111:
0x072A	0x2FE3    	MOV        R30, R19
0x072C	0x2FF4    	MOV        R31, R20
0x072E	0x8100    	LD         R16, Z
0x0730	0x2B01    	OR         R16, R17
0x0732	0x2FE3    	MOV        R30, R19
0x0734	0x2FF4    	MOV        R31, R20
0x0736	0x8300    	ST         Z, R16
;remote.c,206 :: 		BitNo++;
0x0738	0x00EB9100  	LDS        R16, _BitNo+0
0x073C	0x5F0F    	SUBI       R16, 255
0x073E	0x00EB9300  	STS        _BitNo+0, R16
;remote.c,207 :: 		if(BitNo==8)
0x0742	0x00EB9100  	LDS        R16, _BitNo+0
0x0746	0x3008    	CPI        R16, 8
0x0748	0xF479    	BRNE       L_Ext_Interrupt34
L__Ext_Interrupt112:
;remote.c,209 :: 		BitNo=0;
0x074A	0xE0B0    	LDI        R27, 0
0x074C	0x00EB93B0  	STS        _BitNo+0, R27
;remote.c,210 :: 		ByteNo++;
0x0750	0x00EA9100  	LDS        R16, _ByteNo+0
0x0754	0x5F0F    	SUBI       R16, 255
0x0756	0x00EA9300  	STS        _ByteNo+0, R16
;remote.c,211 :: 		if(ByteNo==4)
0x075A	0x00EA9100  	LDS        R16, _ByteNo+0
0x075E	0x3004    	CPI        R16, 4
0x0760	0xF419    	BRNE       L_Ext_Interrupt35
L__Ext_Interrupt113:
;remote.c,213 :: 		State=IR_WAIT_STOP_BIT;
0x0762	0xE0B4    	LDI        R27, 4
0x0764	0x00E693B0  	STS        _State+0, R27
;remote.c,214 :: 		}
L_Ext_Interrupt35:
;remote.c,215 :: 		}
L_Ext_Interrupt34:
;remote.c,216 :: 		MCUCR|=((1<<ISC01)|(1<<ISC00));        //Set INT on Rising Edge
0x0768	0xB705    	IN         R16, MCUCR+0
0x076A	0x6003    	ORI        R16, 3
0x076C	0xBF05    	OUT        MCUCR+0, R16
;remote.c,217 :: 		Edge=1;
0x076E	0xE0B1    	LDI        R27, 1
0x0770	0x00E193B0  	STS        _Edge+0, R27
;remote.c,219 :: 		}
0x0774	0xC000    	RJMP       L_Ext_Interrupt36
;remote.c,202 :: 		else if((TempTime>152) && (TempTime<186))
L__Ext_Interrupt84:
L__Ext_Interrupt83:
;remote.c,228 :: 		}
L_Ext_Interrupt36:
L_Ext_Interrupt30:
;remote.c,229 :: 		}
L_Ext_Interrupt24:
;remote.c,230 :: 		break;
0x0776	0xC029    	RJMP       L_Ext_Interrupt1
;remote.c,232 :: 		case IR_WAIT_STOP_BIT:
L_Ext_Interrupt37:
;remote.c,234 :: 		if(Edge)
0x0778	0x00E19100  	LDS        R16, _Edge+0
0x077C	0x2300    	TST        R16
0x077E	0xF089    	BREQ       L_Ext_Interrupt38
L__Ext_Interrupt114:
;remote.c,237 :: 		if(IrData[2]==((unsigned char)~IrData[3]))
0x0780	0x00E59100  	LDS        R16, _IrData+3
0x0784	0x2F10    	MOV        R17, R16
0x0786	0x9510    	COM        R17
0x0788	0x00E49100  	LDS        R16, _IrData+2
0x078C	0x1701    	CP         R16, R17
0x078E	0xF449    	BRNE       L_Ext_Interrupt39
L__Ext_Interrupt115:
;remote.c,240 :: 		Data_receive = 1;
0x0790	0xE0B1    	LDI        R27, 1
0x0792	0x007193B0  	STS        _Data_receive+0, R27
;remote.c,242 :: 		MCUCR&=(~((1<<ISC01)|(1<<ISC00)));
0x0796	0xB705    	IN         R16, MCUCR+0
0x0798	0x7F0C    	ANDI       R16, 252
0x079A	0xBF05    	OUT        MCUCR+0, R16
;remote.c,243 :: 		MCUCR|=(1<<ISC01);
0x079C	0xB705    	IN         R16, MCUCR+0
0x079E	0x6002    	ORI        R16, 2
0x07A0	0xBF05    	OUT        MCUCR+0, R16
;remote.c,246 :: 		}
L_Ext_Interrupt39:
;remote.c,247 :: 		}
L_Ext_Interrupt38:
;remote.c,248 :: 		break;
0x07A2	0xC013    	RJMP       L_Ext_Interrupt1
;remote.c,251 :: 		}
L_Ext_Interrupt0:
0x07A4	0x00E69100  	LDS        R16, _State+0
0x07A8	0x3000    	CPI        R16, 0
0x07AA	0xF409    	BRNE       L__Ext_Interrupt116
0x07AC	0xCEEF    	RJMP       L_Ext_Interrupt2
L__Ext_Interrupt116:
0x07AE	0x00E69100  	LDS        R16, _State+0
0x07B2	0x3001    	CPI        R16, 1
0x07B4	0xF409    	BRNE       L__Ext_Interrupt117
0x07B6	0xCF14    	RJMP       L_Ext_Interrupt9
L__Ext_Interrupt117:
0x07B8	0x00E69100  	LDS        R16, _State+0
0x07BC	0x3003    	CPI        R16, 3
0x07BE	0xF409    	BRNE       L__Ext_Interrupt118
0x07C0	0xCF43    	RJMP       L_Ext_Interrupt18
L__Ext_Interrupt118:
0x07C2	0x00E69100  	LDS        R16, _State+0
0x07C6	0x3004    	CPI        R16, 4
0x07C8	0xF2B9    	BREQ       L_Ext_Interrupt37
L__Ext_Interrupt119:
L_Ext_Interrupt1:
;remote.c,252 :: 		GICR|=(1<<INT0);        //Enable INT1
0x07CA	0xB70B    	IN         R16, GICR+0
0x07CC	0x6400    	ORI        R16, 64
0x07CE	0xBF0B    	OUT        GICR+0, R16
;remote.c,253 :: 		}
L_end_Ext_Interrupt:
0x07D0	0x91BF    	POP        R27
0x07D2	0xBFBF    	OUT        SREG+0, R27
0x07D4	0x91BF    	POP        R27
0x07D6	0x91FF    	POP        R31
0x07D8	0x91EF    	POP        R30
0x07DA	0x913F    	POP        R19
0x07DC	0x912F    	POP        R18
0x07DE	0x911F    	POP        R17
0x07E0	0x910F    	POP        R16
0x07E2	0x9518    	RETI
; end of _Ext_Interrupt
;remote.c,0 :: ?ICS?lstr1_remote
0x0950	0x5249 ;?ICS?lstr1_remote+0
0x0952	0x5220 ;?ICS?lstr1_remote+2
0x0954	0x6D65 ;?ICS?lstr1_remote+4
0x0956	0x746F ;?ICS?lstr1_remote+6
0x0958	0x4465 ;?ICS?lstr1_remote+8
0x095A	0x6365 ;?ICS?lstr1_remote+10
0x095C	0x646F ;?ICS?lstr1_remote+12
0x095E	0x7265 ;?ICS?lstr1_remote+14
0x0960	0x00 ;?ICS?lstr1_remote+16
; end of ?ICS?lstr1_remote
;remote.c,0 :: ?ICS_Data_receive
0x0961	0x00 ;?ICS_Data_receive+0
; end of ?ICS_Data_receive
;remote.c,0 :: ?ICS?lstr3_remote
0x0962	0x6F59 ;?ICS?lstr3_remote+0
0x0964	0x2075 ;?ICS?lstr3_remote+2
0x0966	0x7270 ;?ICS?lstr3_remote+4
0x0968	0x7365 ;?ICS?lstr3_remote+6
0x096A	0x6573 ;?ICS?lstr3_remote+8
0x096C	0x2064 ;?ICS?lstr3_remote+10
0x096E	0x2132 ;?ICS?lstr3_remote+12
0x0970	0x0021 ;?ICS?lstr3_remote+14
; end of ?ICS?lstr3_remote
;remote.c,0 :: ?ICS?lstr2_remote
0x0972	0x6F59 ;?ICS?lstr2_remote+0
0x0974	0x2075 ;?ICS?lstr2_remote+2
0x0976	0x7270 ;?ICS?lstr2_remote+4
0x0978	0x7365 ;?ICS?lstr2_remote+6
0x097A	0x6573 ;?ICS?lstr2_remote+8
0x097C	0x2064 ;?ICS?lstr2_remote+10
0x097E	0x2131 ;?ICS?lstr2_remote+12
0x0980	0x0021 ;?ICS?lstr2_remote+14
; end of ?ICS?lstr2_remote
;remote.c,0 :: ?ICS_Time
0x0982	0x0000 ;?ICS_Time+0
; end of ?ICS_Time
;remote.c,0 :: ?ICS?lstr4_remote
0x0984	0x6F59 ;?ICS?lstr4_remote+0
0x0986	0x2075 ;?ICS?lstr4_remote+2
0x0988	0x7270 ;?ICS?lstr4_remote+4
0x098A	0x7365 ;?ICS?lstr4_remote+6
0x098C	0x6573 ;?ICS?lstr4_remote+8
0x098E	0x2064 ;?ICS?lstr4_remote+10
0x0990	0x2133 ;?ICS?lstr4_remote+12
0x0992	0x0021 ;?ICS?lstr4_remote+14
; end of ?ICS?lstr4_remote
;remote.c,0 :: ?ICS?lstr8_remote
0x0994	0x6F59 ;?ICS?lstr8_remote+0
0x0996	0x2075 ;?ICS?lstr8_remote+2
0x0998	0x7270 ;?ICS?lstr8_remote+4
0x099A	0x7365 ;?ICS?lstr8_remote+6
0x099C	0x6573 ;?ICS?lstr8_remote+8
0x099E	0x3A64 ;?ICS?lstr8_remote+10
0x09A0	0x00 ;?ICS?lstr8_remote+12
; end of ?ICS?lstr8_remote
;remote.c,0 :: ?ICS?lstr6_remote
0x09A1	0x6F59 ;?ICS?lstr6_remote+0
0x09A3	0x2075 ;?ICS?lstr6_remote+2
0x09A5	0x7270 ;?ICS?lstr6_remote+4
0x09A7	0x7365 ;?ICS?lstr6_remote+6
0x09A9	0x6573 ;?ICS?lstr6_remote+8
0x09AB	0x2064 ;?ICS?lstr6_remote+10
0x09AD	0x2135 ;?ICS?lstr6_remote+12
0x09AF	0x0021 ;?ICS?lstr6_remote+14
; end of ?ICS?lstr6_remote
;remote.c,0 :: ?ICS?lstr5_remote
0x09B1	0x6F59 ;?ICS?lstr5_remote+0
0x09B3	0x2075 ;?ICS?lstr5_remote+2
0x09B5	0x7270 ;?ICS?lstr5_remote+4
0x09B7	0x7365 ;?ICS?lstr5_remote+6
0x09B9	0x6573 ;?ICS?lstr5_remote+8
0x09BB	0x2064 ;?ICS?lstr5_remote+10
0x09BD	0x2134 ;?ICS?lstr5_remote+12
0x09BF	0x0021 ;?ICS?lstr5_remote+14
; end of ?ICS?lstr5_remote
;remote.c,0 :: ?ICS?lstr7_remote
0x09C1	0x6F59 ;?ICS?lstr7_remote+0
0x09C3	0x2075 ;?ICS?lstr7_remote+2
0x09C5	0x7270 ;?ICS?lstr7_remote+4
0x09C7	0x7365 ;?ICS?lstr7_remote+6
0x09C9	0x6573 ;?ICS?lstr7_remote+8
0x09CB	0x2064 ;?ICS?lstr7_remote+10
0x09CD	0x2136 ;?ICS?lstr7_remote+12
0x09CF	0x0021 ;?ICS?lstr7_remote+14
; end of ?ICS?lstr7_remote
Symbol List:
//** Routines locations **
//ADDRESS    SIZE    PROCEDURE
//----------------------------------------------
0x002A       [7]    _Delay_50us
0x0031      [12]    _Lcd_Chr_CP
0x003D      [33]    _ResetIR
0x005E       [5]    _Delay_1us
0x0063       [8]    _Delay_5500us
0x006B      [55]    _Lcd_Chr
0x00A2      [24]    _GetRemoteCmd
0x00BA       [1]    __Lib_Conversions____ag
0x00BB       [5]    ___CC2DW
0x00C0      [71]    _Lcd_Out
0x0107      [98]    _Lcd_Cmd
0x0169     [279]    _Lcd_Init
0x0280      [39]    _RemoteInit
0x02A7     [331]    _Ext_Interrupt
0x03F2      [25]    _Timer0_COMP_Interrupt
0x040B     [157]    _main
//** Variables locations ** 
//ADDRESS    SIZE    VARIABLE
//----------------------------------------------
0x0000       [1]    Delay_Cyc_loc_L0
0x0000       [1]    R0
0x0001       [1]    R1
0x0002       [2]    FARG_strspn_str1
0x0002       [1]    FARG_ShortToStr_input
0x0002       [1]    FARG_ByteToHex_input
0x0002       [1]    FARG_Lcd_Out_row
0x0002       [2]    FARG_memcpy_d1
0x0002       [2]    FARG_WordToStrWithZeros_input
0x0002       [2]    FARG_strrchr_ptr
0x0002       [1]    FARG_Lcd_Chr_CP_out_char
0x0002       [1]    FARG_ByteToStr_input
0x0002       [2]    FARG_WordToHex_input
0x0002       [2]    FARG_Ltrim_string
0x0002       [2]    FARG_IntToStr_input
0x0002       [1]    FARG_GetRemoteCmd_wait
0x0002       [2]    FARG_strpbrk_s1
0x0002       [2]    FARG_memmove_to
0x0002       [2]    FARG_strncpy_to
0x0002       [1]    FARG_ShortToHex_input
0x0002       [1]    FARG_Lcd_Cmd_out_char
0x0002       [1]    FARG_Delay_Cyc_cycles_div_by_10
0x0002       [2]    FARG_memcmp_s1
0x0002       [2]    FARG_WordToStr_input
0x0002       [2]    FARG_strlen_s
0x0002       [2]    FARG_VDelay_ms_Time_ms
0x0002       [2]    FARG_strstr_s1
0x0002       [2]    FARG_Lcd_Out_CP_text
0x0002       [2]    FARG_strncat_to
0x0002       [2]    FARG_memchr_p
0x0002       [2]    FARG_IntToStrWithZeros_input
0x0002       [2]    FARG_strcat_to
0x0002       [4]    FARG_FloatToStr_fnum
0x0002       [2]    FARG_strtok_s1
0x0002       [2]    FARG_strchr_ptr
0x0002       [2]    FARG_VDelay_Advanced_ms_Time_ms
0x0002       [2]    FARG_strcpy_to
0x0002       [1]    FARG_Dec2Bcd_decnum
0x0002       [2]    FARG_memset_p1
0x0002       [1]    R2
0x0002       [2]    FARG_IntToHex_input
0x0002       [2]    FARG_strncmp_s1
0x0002       [2]    FARG_strcmp_s1
0x0002       [1]    FARG_Lcd_Chr_row
0x0002       [4]    FARG_LongWordToHex_input
0x0002       [2]    FARG_Dec2Bcd16_decnum
0x0002       [1]    FARG_Bcd2Dec_bcdnum
0x0002       [2]    FARG_Bcd2Dec16_bcdnum
0x0002       [2]    FARG_strcspn_s1
0x0002       [4]    FARG_LongIntToHex_input
0x0002       [4]    FARG_LongToStr_input
0x0002       [4]    FARG_LongWordToStrWithZeros_input
0x0002       [2]    FARG_Rtrim_string
0x0002       [4]    FARG_LongIntToStrWithZeros_input
0x0002       [4]    FARG_LongWordToStr_input
0x0003       [1]    R3
0x0003       [2]    FARG_ShortToStr_output
0x0003       [1]    FARG_Lcd_Chr_column
0x0003       [1]    FARG_Lcd_Out_column
0x0003       [2]    FARG_ShortToHex_output
0x0003       [2]    FARG_ByteToStr_output
0x0003       [2]    FARG_ByteToHex_output
0x0004       [2]    FARG_strtok_s2
0x0004       [1]    FARG_memchr_n
0x0004       [2]    FARG_strcspn_s2
0x0004       [2]    FARG_IntToStrWithZeros_output
0x0004       [2]    FARG_WordToStr_output
0x0004       [2]    FARG_strcmp_s2
0x0004       [2]    FARG_Lcd_Out_text
0x0004       [2]    FARG_memcmp_s2
0x0004       [2]    FARG_strcat_from
0x0004       [2]    FARG_strspn_str2
0x0004       [2]    FARG_strstr_s2
0x0004       [2]    FARG_IntToHex_output
0x0004       [2]    FARG_strpbrk_s2
0x0004       [2]    FARG_strncpy_from
0x0004       [1]    R4
0x0004       [2]    FARG_memcpy_s1
0x0004       [2]    FARG_memmove_from
0x0004       [1]    FARG_strchr_chr
0x0004       [1]    FARG_Lcd_Chr_out_char
0x0004       [2]    FARG_WordToHex_output
0x0004       [2]    FARG_IntToStr_output
0x0004       [1]    FARG_strrchr_chr
0x0004       [2]    FARG_strncmp_s2
0x0004       [2]    FARG_VDelay_Advanced_ms_Current_Fosc_kHz
0x0004       [2]    FARG_strcpy_from
0x0004       [1]    FARG_memset_character
0x0004       [2]    FARG_WordToStrWithZeros_output
0x0004       [2]    FARG_strncat_from
0x0005       [2]    FARG_memset_n
0x0005       [2]    FARG_memchr_v
0x0005       [1]    R5
0x0006       [2]    FARG_memmove_n
0x0006       [1]    R6
0x0006       [1]    FARG_strncmp_len
0x0006       [2]    FARG_LongWordToStr_output
0x0006       [2]    FARG_LongWordToStrWithZeros_output
0x0006       [2]    FARG_LongToStr_output
0x0006       [2]    FARG_memcmp_n
0x0006       [2]    FARG_strncat_size
0x0006       [2]    FARG_LongWordToHex_output
0x0006       [2]    FARG_FloatToStr_str
0x0006       [2]    FARG_memcpy_n
0x0006       [2]    FARG_LongIntToStrWithZeros_output
0x0006       [2]    FARG_LongIntToHex_output
0x0006       [2]    FARG_strncpy_size
0x0007       [1]    R7
0x0008       [1]    R8
0x0009       [1]    R9
0x000A       [1]    R10
0x000B       [1]    R11
0x000C       [1]    R12
0x000D       [1]    R13
0x000E       [1]    R14
0x000F       [1]    R15
0x0010       [1]    R16
0x0011       [1]    R17
0x0012       [1]    R18
0x0013       [1]    R19
0x0014       [1]    R20
0x0015       [1]    R21
0x0016       [1]    R22
0x0017       [1]    R23
0x0018       [1]    R24
0x0019       [1]    R25
0x001A       [1]    XL
0x001A       [1]    R26
0x001A       [2]    X
0x001B       [1]    R27
0x001B       [1]    XH
0x001C       [1]    YL
0x001C       [1]    R28
0x001C       [2]    Y
0x001D       [1]    R29
0x001D       [1]    YH
0x001E       [1]    R30
0x001E       [1]    ZL
0x001E       [2]    Z
0x001F       [1]    R31
0x001F       [1]    ZH
0x0020       [0]    TWBR3_bit
0x0020       [0]    TWBR2_bit
0x0020       [0]    TWBR1_bit
0x0020       [0]    TWBR0_bit
0x0020       [0]    TWBR4_bit
0x0020       [0]    TWBR5_bit
0x0020       [0]    TWBR6_bit
0x0020       [0]    TWBR7_bit
0x0020       [1]    TWBR
0x0021       [0]    TWS6_bit
0x0021       [0]    TWS7_bit
0x0021       [0]    TWS5_bit
0x0021       [0]    TWPS0_bit
0x0021       [1]    TWSR
0x0021       [0]    TWPS1_bit
0x0021       [0]    TWS4_bit
0x0021       [0]    TWS3_bit
0x0022       [0]    TWA1_bit
0x0022       [0]    TWA2_bit
0x0022       [0]    TWGCE_bit
0x0022       [0]    TWA0_bit
0x0022       [0]    TWA3_bit
0x0022       [0]    TWA6_bit
0x0022       [1]    TWAR
0x0022       [0]    TWA4_bit
0x0022       [0]    TWA5_bit
0x0023       [0]    TWD3_bit
0x0023       [0]    TWD4_bit
0x0023       [0]    TWD1_bit
0x0023       [0]    TWD2_bit
0x0023       [0]    TWD7_bit
0x0023       [1]    TWDR
0x0023       [0]    TWD5_bit
0x0023       [0]    TWD6_bit
0x0023       [0]    TWD0_bit
0x0024       [0]    ADCL1_bit
0x0024       [0]    ADCL2_bit
0x0024       [1]    ADCL
0x0024       [0]    ADCL0_bit
0x0024       [0]    ADCL3_bit
0x0024       [0]    ADCL6_bit
0x0024       [0]    ADCL7_bit
0x0024       [0]    ADCL4_bit
0x0024       [0]    ADCL5_bit
0x0025       [0]    ADCH3_bit
0x0025       [0]    ADCH4_bit
0x0025       [0]    ADCH2_bit
0x0025       [0]    ADCH0_bit
0x0025       [0]    ADCH1_bit
0x0025       [0]    ADCH7_bit
0x0025       [1]    ADCH
0x0025       [0]    ADCH5_bit
0x0025       [0]    ADCH6_bit
0x0026       [0]    ADPS2_bit
0x0026       [0]    ADIE_bit
0x0026       [0]    ADPS0_bit
0x0026       [0]    ADPS1_bit
0x0026       [0]    ADIF_bit
0x0026       [0]    ADEN_bit
0x0026       [1]    ADCSRA
0x0026       [0]    ADATE_bit
0x0026       [0]    ADSC_bit
0x0027       [0]    ADLAR_bit
0x0027       [0]    MUX1_bit
0x0027       [0]    REFS0_bit
0x0027       [1]    ADMUX
0x0027       [0]    MUX3_bit
0x0027       [0]    MUX2_bit
0x0027       [0]    MUX4_bit
0x0027       [0]    REFS1_bit
0x0027       [0]    MUX0_bit
0x0028       [0]    ACI_bit
0x0028       [0]    ACIS0_bit
0x0028       [0]    ACO_bit
0x0028       [0]    ACD_bit
0x0028       [0]    ACIS1_bit
0x0028       [0]    ACIC_bit
0x0028       [0]    ACBG_bit
0x0028       [1]    ACSR
0x0028       [0]    ACIE_bit
0x0029       [0]    UBRR1_bit
0x0029       [0]    UBRR0_bit
0x0029       [0]    UBRR6_bit
0x0029       [0]    UBRR5_bit
0x0029       [1]    UBRRL
0x0029       [0]    UBRR7_bit
0x0029       [0]    UBRR2_bit
0x0029       [0]    UBRR3_bit
0x0029       [0]    UBRR4_bit
0x002A       [0]    RXCIE_bit
0x002A       [0]    TXEN_bit
0x002A       [0]    RXEN_bit
0x002A       [0]    TXCIE_bit
0x002A       [0]    UDRIE_bit
0x002A       [1]    UCSR0B
0x002A       [0]    RXB8_bit
0x002A       [0]    TXB8_bit
0x002A       [0]    UCSZ2_bit
0x002A       [1]    UCSRB
0x002B       [1]    UCSRA
0x002B       [0]    UDRE0_bit
0x002B       [0]    FE_bit
0x002B       [0]    TXC0_bit
0x002B       [0]    UDRE_bit
0x002B       [0]    U2X_bit
0x002B       [0]    MPCM_bit
0x002B       [0]    DOR_bit
0x002B       [0]    UPE_bit
0x002B       [0]    RXC_bit
0x002B       [0]    RXC0_bit
0x002B       [0]    TXC_bit
0x002C       [0]    UDR1_bit
0x002C       [1]    UDR
0x002C       [0]    UDR5_bit
0x002C       [0]    UDR6_bit
0x002C       [0]    UDR7_bit
0x002C       [0]    UDR3_bit
0x002C       [0]    UDR4_bit
0x002C       [0]    UDR0__bit
0x002C       [0]    UDR2_bit
0x002C       [1]    UDR0
0x002D       [0]    SPIE_bit
0x002D       [0]    CPHA_bit
0x002D       [0]    SPR1_bit
0x002D       [0]    SPR0_bit
0x002D       [0]    CPOL_bit
0x002D       [0]    SPE_bit
0x002D       [0]    DORD_bit
0x002D       [0]    MSTR_bit
0x002D       [1]    SPCR
0x002E       [1]    SPSR
0x002E       [0]    SPIF_bit
0x002E       [0]    SPI2X_bit
0x002E       [0]    WCOL_bit
0x002F       [0]    SPDR6_bit
0x002F       [1]    SPDR
0x002F       [0]    SPDR7_bit
0x002F       [0]    SPDR2_bit
0x002F       [0]    SPDR3_bit
0x002F       [0]    SPDR0_bit
0x002F       [0]    SPDR4_bit
0x002F       [0]    SPDR5_bit
0x002F       [0]    SPDR1_bit
0x0030       [0]    PIND3_bit
0x0030       [0]    PIND0_bit
0x0030       [1]    PIND
0x0030       [0]    PIND1_bit
0x0030       [0]    PIND2_bit
0x0030       [0]    PIND7_bit
0x0030       [0]    PIND4_bit
